Title,Sprint,Owner,Estimate,Priority,Acceptance Criteria
"CA detection spike for GMGN, Axiom, Padre","Sprint 0","Frontend Engineer","2 days","High","Document URL patterns, DOM selectors, and at least 5 example pages per site; URL-first detection works for >= 80% of examples."
"Postgres schema & migrations","Sprint 1","Backend Engineer","1 day","High","Migrations added, tables: rooms, messages, identities, reports."
"Messages API (create, fetch history)","Sprint 1","Backend Engineer","3 days","High","POST /api/rooms/:id/messages and GET /api/rooms/:id/messages?limit=50 return persisted messages."
"Realtime adapter (Supabase/Ably) + abstraction","Sprint 1","Backend Engineer","3 days","High","Message publish/subscribe works end-to-end with history reload on reconnect."
"Rate limiting middleware","Sprint 1","Backend Engineer","2 days","High","Per-identity and per-IP throttling enforced in tests."
"WalletConnect optional auth flow (stub)","Sprint 1","Backend Engineer","2 days","Medium","Wallet signature login issues a session token and marks identity as verified."
"Shared React chat UI component","Sprint 2","Frontend Engineer","3 days","High","Message list, composer, presence indicator, report/mute UI with basic styling."
"/room/<CA> and /embed/<CA> routes","Sprint 2","Frontend Engineer","1 day","High","Routes load chat UI and join flow works for pasted CA."
"E2E happy path tests","Sprint 2","QA/Frontend","1 day","Medium","Join/send/receive test passes headlessly."
"Manifest V3 extension scaffold + content script","Sprint 3","Frontend Engineer","3 days","High","Extension loads in dev, content script runs on GMGN pages."
"URL-first CA detector for GMGN + DOM fallback","Sprint 3","Frontend Engineer","2 days","High","Detector correctly extracts CA in >=90% of test pages."
"Inject sandboxed iframe to /embed/<CA> (collapsed widget UI)","Sprint 3","Frontend Engineer","3 days","High","Widget opens/expands without breaking host page layout; iframe isolated."
"Permissions & packaging","Sprint 3","Frontend Engineer / Ops","2 days","Medium","host_permissions scoped to target domains; extension package documented for internal installs."
"Add detectors for Axiom and Padre","Sprint 4","Frontend Engineer","3 days","High","Detectors validated against sample pages."
"Moderation controls: report server handler, ban list","Sprint 4","Backend Engineer","4 days","High","Reports persist; ban list prevents posting from banned identities."
"Advanced link/blocklist filtering","Sprint 4","Backend Engineer","3 days","Medium","Known scam domains blocked; unit tests covering patterns."
"WalletConnect production integration","Sprint 5","Fullstack Engineer","4 days","High","Users can connect wallets in production and receive verified badge."
"Rate-limit tuning & monitoring setup","Sprint 5","Backend Engineer / Ops","3 days","Medium","Rate limits adjusted for minimal false positives; monitoring dashboards in place."
"UX polish and accessibility","Sprint 5","Frontend Engineer","3 days","Medium","Basic accessibility checks pass; UI polished for extension and web."
"CI pipeline (unit tests, build, e2e)","Operational","DevOps","3 days","Medium","CI runs unit tests, builds, and E2E checks as part of pull requests."
"Staging/Production deploy scripts & docs","Operational","DevOps","2 days","Medium","Deploy scripts and documentation exist for staging and production."
"Monitoring & alerts setup","Operational","Ops","2 days","Medium","Monitoring and alerting are configured for production service health."
